# this is a legfed-expression file, slightly converted from S Dash file:
# cicar-SRP017394-on-ICC4958.gnm2.ann1_combinedSamplesTpm_uniquenameGene.tsv
#
# 1. source name, PMID, geo, bioProject, sra
ID	Chickpea Transcriptome Atlas - I
PMID	23551980
GEO 	GSE42679
BioProject	PRJNA182724
SRA	SRP017394
URL	http://onlinelibrary.wiley.com/doi/10.1111/pbi.12059/full
Description	In this study, the authors aimed to present a global view of transcriptome dynamics during flower development in chickpea. They generated around 234 million high-quality reads for eight flower development stages (ranging from 16 to 40 million reads for each stage) and 91 million high-quality reads from three vegetative tissues using Illumina high-throughput sequencing GAII platform. The genotype used was chickpea desi ICC4958. LIS mapped the reads to the ICC4958 genome for presentation on LegumeInfo.org and LegFed mines.
Unit	TPM
Samples	11
1	GS	SRS377931:Germinating seedling
2	YL	SRS377932:Young leaves
3	SAM	SRS377933:Shoot apical meristem
4	FB1	SRS377934:Flower bud 1
5	FB2	SRS377935:Flower bud 2
6	FB3	SRS377936:Flower bud 3
7	FB4	SRS377937:Flower bud 4
8	F1	SRS377938:Flower 1
9	F2	SRS377939:Flower 2
10	F3	SRS377940:Flower 3
11	F4	SRS377941:Flower 4
#GeneID	1	2	3	4	5	6	7	8	9	10	11	
ICC4958.Ca_00001	0	0.77	0.24	0	1.47	0	0	0.29	0.25	0.57	0.48
ICC4958.Ca_00002	0.1	0.03	0.2	0.17	0.19	0.04	0.25	0.02	0.08	0.04	0.05
ICC4958.Ca_00003	0	0	0	0	0	0	0	0	0	0	0
ICC4958.Ca_00004	0	0	0	0	0	0	0	0	0	0	0
ICC4958.Ca_00005	0	0	0	0	0	0	0	0	0	0	0
ICC4958.Ca_00006	21.67	18.95	12.01	3.42	6.97	5.53	7.44	8.78	10.86	31.12	31.51
ICC4958.Ca_00007	0	0	0	0.28	0.7	0.3	0	0	0	0	0
ICC4958.Ca_00008	0.11	0.95	0.13	0.17	0.09	0.11	0	0.05	0	0.05	0.17
ICC4958.Ca_00009	0	0	0	0.04	0.1	0	0.07	0.03	0.05	0.03	0
ICC4958.Ca_00010	0.02	0.06	0.08	0.05	0.08	0.15	0.02	0.02	0	0.02	0
ICC4958.Ca_00011	0	0	0	0	0	0	0	0	0	0	0.02
ICC4958.Ca_00012	0.3	0	0.08	0.13	0	0.34	0.74	0.19	0.32	0.47	0.32
ICC4958.Ca_00013	0	0	0	0	0	0	0	0	0	0	0
